,CVE_ENT,CVE_MUN,POB
1099,20,099,381.0
1100,20,491,4930.0
1101,20,497,4233.0
1102,20,549,11465.0
1103,20,031,7185.0
1104,20,279,2932.0
1105,20,401,27046.0
1106,20,367,4582.0
1107,20,503,425.0
1108,20,379,2951.0
1109,20,494,6300.0
1110,20,500,7991.0
1111,20,499,1922.0
1112,20,058,12722.0
1113,20,059,50375.0
1114,20,177,10365.0
1115,20,359,637.0
1116,20,364,18654.0
1117,20,569,1454.0
1118,20,570,22093.0
1119,20,567,3382.0
1120,20,057,38183.0
1121,20,423,453.0
1122,20,112,2576.0
1123,20,510,760.0
1124,20,371,986.0
1125,20,424,3793.0
1126,20,406,21469.0
1127,20,410,3418.0
1128,20,435,3576.0
1129,20,417,9682.0
1130,20,422,603.0
1131,20,439,25347.0
1132,20,450,13855.0
1133,20,075,2660.0
1134,20,501,998.0
1135,20,504,1590.0
1136,20,505,7681.0
1137,20,251,1217.0
1138,20,459,4877.0
1139,20,477,1327.0
1140,20,484,4458.0
1141,20,485,3134.0
1142,20,492,2764.0
1143,20,495,3029.0
1144,20,534,3512.0
1145,20,537,6710.0
1146,20,543,6386.0
1147,20,548,1960.0
1148,20,463,525.0
1149,20,467,19112.0
1150,20,559,23067.0
1151,20,169,4251.0
1152,20,117,2213.0
1153,20,512,1101.0
1154,20,514,941.0
1155,20,118,2389.0
1156,20,518,113.0
1157,20,568,1695.0
1158,20,521,250.0
1159,20,001,841.0
1160,20,256,229.0
1161,20,003,2547.0
1162,20,263,3184.0
1163,20,004,1107.0
1164,20,007,2395.0
1165,20,267,245.0
1166,20,011,1402.0
1167,20,027,2179.0
1168,20,030,8730.0
1169,20,519,3386.0
1170,20,013,3043.0
1171,20,460,5242.0
1172,20,044,40934.0
1173,20,017,3607.0
1174,20,507,3155.0
1175,20,049,1184.0
1176,20,520,7393.0
1177,20,019,2754.0
1178,20,022,803.0
1179,20,024,3644.0
1180,20,025,11356.0
1181,20,026,9035.0
1182,20,029,4215.0
1183,20,032,1077.0
1184,20,515,67739.0
1185,20,516,5260.0
1186,20,033,2929.0
1187,20,050,3750.0
1188,20,034,1288.0
1189,20,035,657.0
1190,20,051,4764.0
1191,20,536,449.0
1192,20,037,4424.0
1193,20,040,6385.0
1194,20,041,31710.0
1195,20,042,8385.0
1196,20,045,7888.0
1197,20,053,1297.0
1198,20,046,2943.0
1199,20,047,81.0
1200,20,048,1433.0
1201,20,522,1205.0
1202,20,456,1667.0
1203,20,060,2487.0
1204,20,061,2893.0
1205,20,062,498.0
1206,20,063,4293.0
1207,20,065,1079.0
1208,20,069,3052.0
1209,20,070,6416.0
